Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC IMPERIAL,"730,000",398.27,"1,833",May-26,PASIR PANJANG ROAD,Resale,Strata,37,"19,730",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"3,860,000","1,711.48","2,255",May-26,JALAN LEMPENG,Resale,Strata,159,"24,277",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
NORMANTON PARK,"2,260,000","1,087.16","2,079",May-26,NORMANTON PARK,Resale,Strata,101,"22,376",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
PARC CLEMATIS,"2,188,000",914.94,"2,391",May-26,JALAN LEMPENG,Resale,Strata,85,"25,741",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
HERITAGE VIEW,"1,900,888","1,162.51","1,635",May-26,DOVER RISE,Resale,Strata,108,"17,601",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
THE CLEMENT CANOPY,"2,780,000","1,345.5","2,066",May-26,CLEMENTI AVENUE 1,Resale,Strata,125,"22,240",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
NORMANTON PARK,"2,820,000","1,313.21","2,147",May-26,NORMANTON PARK,Resale,Strata,122,"23,115",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE ESTIVA,"2,500,000","1,733","1,443",May-26,PASIR PANJANG ROAD,Resale,Strata,161,"15,528",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
ONE-NORTH EDEN,"1,238,000",516.67,"2,396",May-26,SLIM BARRACKS RISE,Resale,Strata,48,"25,792",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
KENTVIEW PARK,"1,750,000","1,184.04","1,478",May-26,PASIR PANJANG HILL,Resale,Strata,110,"15,909",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,930,000",914.94,"2,109",May-26,JALAN LEMPENG,Resale,Strata,85,"22,706",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
DOVER PARKVIEW,"2,060,000","1,248.62","1,650",May-26,DOVER RISE,Resale,Strata,116,"17,759",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
NORMANTON PARK,"885,000",527.44,"1,678",May-26,NORMANTON PARK,Resale,Strata,49,"18,061",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
BOTANNIA,"2,270,000","1,270.15","1,787",May-26,WEST COAST PARK,Resale,Strata,118,"19,237",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
BOTANNIA,"2,950,000","1,560.78","1,890",May-26,WEST COAST PARK,Resale,Strata,145,"20,345",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
HARBOUR VIEW GARDENS,"1,300,000",678.13,"1,917",May-26,PASIR PANJANG ROAD,Resale,Strata,63,"20,635",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE INFINITI,"1,570,000",914.94,"1,716",May-26,WEST COAST PARK,Resale,Strata,85,"18,471",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
PARC CLEMATIS,"3,560,000","1,496.2","2,379",May-26,JALAN LEMPENG,Resale,Strata,139,"25,612",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
THE TRILINQ,"1,780,000","1,108.69","1,605",May-26,JALAN LEMPENG,Resale,Strata,103,"17,282",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
THE SORRENTO,"1,950,000","1,097.93","1,776",May-26,WEST COAST ROAD,Resale,Strata,102,"19,118",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
WHISTLER GRAND,"835,000",441.32,"1,892",May-26,WEST COAST VALE,Resale,Strata,41,"20,366",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
MONTEREY PARK CONDOMINIUM,"2,500,000","1,367.03","1,829",May-26,WEST COAST RISE,Resale,Strata,127,"19,685",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,06 to 10
MONTEREY PARK CONDOMINIUM,"1,860,000","1,022.58","1,819",May-26,WEST COAST RISE,Resale,Strata,95,"19,579",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,06 to 10
PARC RIVIERA,"1,680,000",904.18,"1,858",May-26,WEST COAST VALE,Resale,Strata,84,"20,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
TWIN VEW,"1,260,000",731.95,"1,721",May-26,WEST COAST VALE,Resale,Strata,68,"18,529",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,01 to 05
REGENT PARK,"1,628,000","1,162.51","1,400",May-26,JALAN LEMPENG,Resale,Strata,108,"15,074",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,06 to 10
HARBOUR VIEW GARDENS,"1,295,000",645.84,"2,005",May-26,PASIR PANJANG ROAD,Resale,Strata,60,"21,583",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
BLUE HORIZON,"1,275,000",936.47,"1,361",May-26,WEST COAST CRESCENT,Resale,Strata,87,"14,655",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
THE VISION,"1,415,000",904.18,"1,565",May-26,WEST COAST CRESCENT,Resale,Strata,84,"16,845",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,01 to 05
THE TRILINQ,"1,950,000",914.94,"2,131",May-26,JALAN LEMPENG,Resale,Strata,85,"22,941",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
CLAVON,"1,645,000",764.24,"2,152",May-26,CLEMENTI AVENUE 1,Resale,Strata,71,"23,169",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
ONE-NORTH RESIDENCES,"915,000",592.02,"1,546",May-26,ONE-NORTH GATEWAY,Resale,Strata,55,"16,636",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
THE MAYLEA,"2,200,000","1,216.33","1,809",May-26,PASIR PANJANG ROAD,Resale,Strata,113,"19,469",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE STELLAR,"1,780,000","1,044.11","1,705",Apr-26,WEST COAST ROAD,Resale,Strata,97,"18,351",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
PARC CLEMATIS,"3,080,000","1,237.86","2,488",Apr-26,JALAN LEMPENG,Resale,Strata,115,"26,783",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"3,400,000","1,463.9","2,323",Apr-26,JALAN LEMPENG,Resale,Strata,136,"25,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC RIVIERA,"788,000",462.85,"1,702",Apr-26,WEST COAST VALE,Resale,Strata,43,"18,326",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
DOVER PARKVIEW,"1,468,000",968.76,"1,515",Apr-26,DOVER RISE,Resale,Strata,90,"16,311",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,890,000",958,"1,973",Apr-26,NORMANTON PARK,Resale,Strata,89,"21,236",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"2,965,000","1,237.86","2,395",Apr-26,JALAN LEMPENG,Resale,Strata,115,"25,783",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
LE HILL CONDOMINIUM,"1,500,000",990.29,"1,515",Apr-26,PASIR PANJANG HILL,Resale,Strata,92,"16,304",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"1,920,000",958,"2,004",Apr-26,WEST COAST VALE,Resale,Strata,89,"21,573",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
NORMANTON PARK,"2,910,000","1,313.21","2,216",Apr-26,NORMANTON PARK,Resale,Strata,122,"23,852",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
WHISTLER GRAND,"2,570,000","1,280.92","2,006",Apr-26,WEST COAST VALE,Resale,Strata,119,"21,597",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
WHITEHAVEN,"2,020,000","1,862.17","1,085",Apr-26,PASIR PANJANG ROAD,Resale,Strata,173,"11,676",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,043,000",968.76,"2,109",Apr-26,NORMANTON PARK,Resale,Strata,90,"22,700",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
WHISTLER GRAND,"888,000",505.91,"1,755",Apr-26,WEST COAST VALE,Resale,Strata,47,"18,894",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
THE MAYLEA,"1,760,000","1,022.58","1,721",Apr-26,PASIR PANJANG ROAD,Resale,Strata,95,"18,526",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,260,000",645.84,"1,951",Apr-26,SOUTH BUONA VISTA ROAD,Resale,Strata,60,"21,000",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
HUNDRED TREES,"1,380,000",785.77,"1,756",Apr-26,WEST COAST DRIVE,Resale,Strata,73,"18,904",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
WHISTLER GRAND,"849,888",441.32,"1,926",Apr-26,WEST COAST VALE,Resale,Strata,41,"20,729",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
REGENT PARK,"1,700,000","1,151.75","1,476",Apr-26,JALAN LEMPENG,Resale,Strata,107,"15,888",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
VILLAGE @ PASIR PANJANG,"1,505,000",839.59,"1,793",Apr-26,PASIR PANJANG ROAD,Resale,Strata,78,"19,295",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,293,000",645.84,"2,002",Apr-26,SOUTH BUONA VISTA ROAD,Resale,Strata,60,"21,550",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,380,000",688.9,"2,003",Apr-26,JALAN LEMPENG,Resale,Strata,64,"21,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
THE TRILINQ,"2,325,000","1,345.5","1,728",Apr-26,JALAN LEMPENG,Resale,Strata,125,"18,600",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,21 to 25
DOVER PARKVIEW,"1,968,888","1,248.62","1,577",Apr-26,DOVER RISE,Resale,Strata,116,"16,973",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
BOTANNIA,"1,598,000",904.18,"1,767",Apr-26,WEST COAST PARK,Resale,Strata,84,"19,024",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
NORMANTON PARK,"1,288,000",667.37,"1,930",Apr-26,NORMANTON PARK,Resale,Strata,62,"20,774",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
TWIN VEW,"1,385,000",710.42,"1,950",Apr-26,WEST COAST VALE,Resale,Strata,66,"20,985",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,21 to 25
PARC CLEMATIS,"2,921,888","1,248.62","2,340",Apr-26,JALAN LEMPENG,Resale,Strata,116,"25,189",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLEMENTIWOODS CONDOMINIUM,"920,000",645.84,"1,425",Apr-26,WEST COAST ROAD,Resale,Strata,60,"15,333",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"840,000",559.73,"1,501",Apr-26,WEST COAST ROAD,Resale,Strata,52,"16,154",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
SEAHILL,"830,000",527.44,"1,574",Apr-26,WEST COAST CRESCENT,Resale,Strata,49,"16,939",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,16 to 20
NORMANTON PARK,"1,115,888",581.26,"1,920",Apr-26,NORMANTON PARK,Resale,Strata,54,"20,665",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
DOVER PARKVIEW,"1,320,000",968.76,"1,363",Apr-26,DOVER RISE,Resale,Strata,90,"14,667",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"1,170,000",624.31,"1,874",Apr-26,WEST COAST VALE,Resale,Strata,58,"20,172",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,01 to 05
CLAVON,"2,125,000",958,"2,218",Apr-26,CLEMENTI AVENUE 1,Resale,Strata,89,"23,876",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
PARC CLEMATIS,"2,098,000",893.41,"2,348",Apr-26,JALAN LEMPENG,Resale,Strata,83,"25,277",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
WESTCOVE CONDOMINIUM,"1,668,000","1,517.72","1,099",Apr-26,WEST COAST CRESCENT,Resale,Strata,141,"11,830",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
NORMANTON PARK,"1,250,000",656.6,"1,904",Apr-26,NORMANTON PARK,Resale,Strata,61,"20,492",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
PARC REGENCY,"2,550,000","1,657.66","1,538",Apr-26,PASIR PANJANG ROAD,Resale,Strata,154,"16,558",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE ROCHESTER RESIDENCES,"2,200,000","1,205.57","1,825",Apr-26,ROCHESTER DRIVE,Resale,Strata,112,"19,643",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,31 to 35
LUXE VILLE,"2,330,000","1,517.72","1,535",Apr-26,PASIR PANJANG ROAD,Resale,Strata,141,"16,525",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,280,000","1,076.4","2,118",Apr-26,NORMANTON PARK,Resale,Strata,100,"22,800",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
WHISTLER GRAND,"2,520,000","1,280.92","1,967",Apr-26,WEST COAST VALE,Resale,Strata,119,"21,176",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
NORMANTON PARK,"915,000",495.14,"1,848",Apr-26,NORMANTON PARK,Resale,Strata,46,"19,891",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"3,900,000","2,798.64","1,394",Apr-26,WEST COAST ROAD,Resale,Strata,260,"15,000",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
BANYAN CONDOMINIUM,"2,250,000","1,636.13","1,375",Apr-26,CHWEE CHIAN ROAD,Resale,Strata,152,"14,803",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"930,000",538.2,"1,728",Apr-26,JALAN LEMPENG,Resale,Strata,50,"18,600",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
THE TRILINQ,"2,430,000","1,356.26","1,792",Apr-26,JALAN LEMPENG,Resale,Strata,126,"19,286",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
HUNDRED TREES,"2,340,000","1,302.44","1,797",Apr-26,WEST COAST DRIVE,Resale,Strata,121,"19,339",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
VILLAGE @ PASIR PANJANG,"2,088,000","1,259.39","1,658",Apr-26,PASIR PANJANG ROAD,Resale,Strata,117,"17,846",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
TWIN VEW,"1,586,800",818.06,"1,940",Apr-26,WEST COAST VALE,Resale,Strata,76,"20,879",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
NORMANTON PARK,"902,000",527.44,"1,710",Apr-26,NORMANTON PARK,Resale,Strata,49,"18,408",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
CLAVON,"1,055,000",527.44,"2,000",Apr-26,CLEMENTI AVENUE 1,Resale,Strata,49,"21,531",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
BOTANNIA,"2,220,000","1,184.04","1,875",Apr-26,WEST COAST PARK,Resale,Strata,110,"20,182",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
WHISTLER GRAND,"2,570,000","1,280.92","2,006",Apr-26,WEST COAST VALE,Resale,Strata,119,"21,597",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
CLAVON,"1,360,000",678.13,"2,006",Apr-26,CLEMENTI AVENUE 1,Resale,Strata,63,"21,587",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
WHISTLER GRAND,"2,556,888","1,280.92","1,996",Apr-26,WEST COAST VALE,Resale,Strata,119,"21,486",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
ONE-NORTH EDEN,"1,243,000",516.67,"2,406",Apr-26,SLIM BARRACKS RISE,Resale,Strata,48,"25,896",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
WHISTLER GRAND,"2,490,000","1,270.15","1,960",Apr-26,WEST COAST VALE,Resale,Strata,118,"21,102",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,16 to 20
BLUE HORIZON,"1,678,000","1,259.39","1,332",Mar-26,WEST COAST CRESCENT,Resale,Strata,117,"14,342",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,01 to 05
NORMANTON PARK,"2,220,000","1,065.64","2,083",Mar-26,NORMANTON PARK,Resale,Strata,99,"22,424",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE STELLAR,"2,600,000","1,485.43","1,750",Mar-26,WEST COAST ROAD,Resale,Strata,138,"18,841",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
NORMANTON PARK,"1,900,000",914.94,"2,077",Mar-26,NORMANTON PARK,Resale,Strata,85,"22,353",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
BAYVILLE CONDOMINIUM,"1,800,000","1,259.39","1,429",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,117,"15,385",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,515,000",764.24,"1,982",Mar-26,NORMANTON PARK,Resale,Strata,71,"21,338",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
VARSITY PARK CONDOMINIUM,"2,408,000","1,528.49","1,575",Mar-26,WEST COAST ROAD,Resale,Strata,142,"16,958",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
CLAVON,"1,465,000",678.13,"2,160",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,63,"23,254",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
NEWEST,"1,000,888",635.08,"1,576",Mar-26,WEST COAST DRIVE,Resale,Strata,59,"16,964",-,Apartment,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
THE INFINITI,"2,580,000","1,496.2","1,724",Mar-26,WEST COAST PARK,Resale,Strata,139,"18,561",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"2,415,000","1,636.13","1,476",Mar-26,WEST COAST ROAD,Resale,Strata,152,"15,888",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,000,000",516.67,"1,935",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,48,"20,833",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
NORMANTON PARK,"870,000",516.67,"1,684",Mar-26,NORMANTON PARK,Resale,Strata,48,"18,125",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
CLAVON,"1,585,000",764.24,"2,074",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,71,"22,324",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
THE TRILINQ,"2,050,000","1,044.11","1,963",Mar-26,JALAN LEMPENG,Resale,Strata,97,"21,134",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
KENT RIDGE HILL RESIDENCES,"1,746,888",893.41,"1,955",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,83,"21,047",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
FABER CREST,"2,250,000","1,733","1,298",Mar-26,FABER HEIGHTS,Resale,Strata,161,"13,975",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
PARC CLEMATIS,"2,955,000","1,248.62","2,367",Mar-26,JALAN LEMPENG,Resale,Strata,116,"25,474",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC RIVIERA,"1,960,000","1,184.04","1,655",Mar-26,WEST COAST VALE,Resale,Strata,110,"17,818",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,01 to 05
WHISTLER GRAND,"1,200,000",613.55,"1,956",Mar-26,WEST COAST VALE,Resale,Strata,57,"21,053",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
THE PARC CONDOMINIUM,"2,960,000","1,506.96","1,964",Mar-26,WEST COAST WALK,Resale,Strata,140,"21,143",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
WEST BAY CONDOMINIUM,"1,040,000",904.18,"1,150",Mar-26,WEST COAST CRESCENT,Resale,Strata,84,"12,381",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
THE PARC CONDOMINIUM,"2,860,000","1,517.72","1,884",Mar-26,WEST COAST WALK,Resale,Strata,141,"20,284",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
VILLAGE @ PASIR PANJANG,"1,738,000","1,076.4","1,615",Mar-26,PASIR PANJANG ROAD,Resale,Strata,100,"17,380",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
WHITEHAVEN,"1,050,000",538.2,"1,951",Mar-26,PASIR PANJANG ROAD,Resale,Strata,50,"21,000",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,970,000",958,"2,056",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,89,"22,135",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
ONE-NORTH RESIDENCES,"1,260,000","1,108.69","1,136",Mar-26,ONE-NORTH GATEWAY,Resale,Strata,103,"12,233",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,550,000",721.19,"2,149",Mar-26,JALAN LEMPENG,Resale,Strata,67,"23,134",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
TWIN VEW,"2,538,000","1,237.86","2,050",Mar-26,WEST COAST VALE,Resale,Strata,115,"22,070",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,36 to 40
ONE-NORTH RESIDENCES,"2,510,000","1,323.97","1,896",Mar-26,ONE-NORTH GATEWAY,Resale,Strata,123,"20,407",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,900,000",968.76,"1,961",Mar-26,NORMANTON PARK,Resale,Strata,90,"21,111",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"2,280,000","1,076.4","2,118",Mar-26,NORMANTON PARK,Resale,Strata,100,"22,800",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
PARC IMPERIAL,"760,000",452.09,"1,681",Mar-26,PASIR PANJANG ROAD,Resale,Strata,42,"18,095",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"1,425,000",678.13,"2,101",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,63,"22,619",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,36 to 40
CLAVON,"3,600,000","1,689.95","2,130",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,157,"22,930",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
ONE-NORTH RESIDENCES,"905,000",613.55,"1,475",Mar-26,ONE-NORTH GATEWAY,Resale,Strata,57,"15,877",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
VARSITY PARK CONDOMINIUM,"2,130,000","1,313.21","1,622",Mar-26,WEST COAST ROAD,Resale,Strata,122,"17,459",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
NORMANTON PARK,"1,930,000",936.47,"2,061",Mar-26,NORMANTON PARK,Resale,Strata,87,"22,184",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
LE HILL CONDOMINIUM,"2,205,000","1,463.9","1,506",Mar-26,PASIR PANJANG HILL,Resale,Strata,136,"16,213",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,360,000",667.37,"2,038",Mar-26,NORMANTON PARK,Resale,Strata,62,"21,935",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
DOVER PARKVIEW,"1,408,888",968.76,"1,454",Mar-26,DOVER RISE,Resale,Strata,90,"15,654",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
THE CLEMENT CANOPY,"1,220,000",656.6,"1,858",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,61,"20,000",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
THE CLEMENT CANOPY,"1,380,000",710.42,"1,943",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,66,"20,909",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
TWIN VEW,"1,390,000",742.72,"1,872",Mar-26,WEST COAST VALE,Resale,Strata,69,"20,145",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,21 to 25
KENTVIEW PARK,"1,900,000","1,313.21","1,447",Mar-26,PASIR PANJANG HILL,Resale,Strata,122,"15,574",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,320,000",936.47,"1,410",Mar-26,DOVER RISE,Resale,Strata,87,"15,172",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"920,000",570.49,"1,613",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,53,"17,358",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,380,000",688.9,"2,003",Mar-26,JALAN LEMPENG,Resale,Strata,64,"21,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
